CustomerID,Name,PhoneNumber,RegistrationDate,LoyaltyPointsBalance
CUST00001,Jeevika Patil,9475282674,2024-06-17,231
CUST00002,Neel Yogi,9565305965,2024-08-30,348
CUST00003,Lucky Tella,9795693463,2024-08-26,293
CUST00004,Ayaan Sridhar,9346724502,2025-08-19,104
CUST00005,Indira Nigam,9171415307,2024-06-03,30
CUST00006,Mohini Balasubramanian,9466277680,2025-06-04,219
CUST00007,Wriddhish Yohannan,9828040863,2024-05-18,334
CUST00008,Isaac Pai,9743534485,2026-03-11,31
CUST00009,Farhan Radhakrishnan,9466915635,2026-02-10,191
CUST00010,Tanvi Lanka,9327761255,2026-02-23,466
CUST00011,Hredhaan Pai,9331014317,2024-09-14,269
CUST00012,Thomas Keer,9151319605,2026-04-09,119
CUST00013,Chakradhar Ghosh,9259421553,2024-10-04,375
CUST00014,Edhitha Dutta,9771862538,2024-09-09,36
CUST00015,Ati Narayanan,9701513009,2025-06-13,219
CUST00016,Nathan Kibe,9206475599,2025-05-08,450
CUST00017,Patrick Desai,9407600427,2025-05-25,210
CUST00018,Max Mammen,9306342942,2024-11-11,355
CUST00019,Eta Handa,9293250626,2025-03-16,274
CUST00020,Benjamin Mani,9848098074,2025-11-24,394
CUST00021,Chandani Mahal,9749971822,2025-01-08,439
CUST00022,Bhavna Dugal,9897146128,2025-03-15,127
CUST00023,Rachana Tailor,9272553262,2025-08-08,299
CUST00024,Onveer Karpe,9399091201,2025-06-24,210
CUST00025,Sara Konda,9237776111,2025-06-06,193
CUST00026,Oni Joshi,9958409661,2026-03-20,250
CUST00027,Reyansh Baral,9359246794,2024-12-15,476
CUST00028,Frado Thaker,9797459274,2026-04-08,57
CUST00029,Anusha Saha,9641729591,2025-09-09,287
CUST00030,Varenya Sandhu,9771839061,2025-08-14,280
CUST00031,Isaiah Sidhu,9999270006,2024-12-21,212
CUST00032,Brijesh Sangha,9351943499,2026-03-14,83
CUST00033,Laksh De,9649284938,2024-11-13,454
CUST00034,Aarush Shanker,9277723659,2025-04-13,343
CUST00035,Ira Dar,9318135394,2025-06-15,14
CUST00036,Panini Patla,9143053623,2026-01-19,412
CUST00037,Xavier Purohit,9834010153,2024-05-04,37
CUST00038,Yahvi Bobal,9571885703,2025-04-15,30
CUST00039,Quincy Menon,9783745616,2026-01-20,176
CUST00040,Siddharth Vohra,9486339154,2024-11-08,406
CUST00041,Nihal Morar,9769364896,2024-06-06,111
CUST00042,Bhavini Thakur,9462078433,2025-03-28,45
CUST00043,Brijesh Muni,9537646472,2025-02-08,283
CUST00044,Manan Chad,9818155387,2024-10-25,349
CUST00045,Sudiksha Gour,9349206775,2025-10-06,296
CUST00046,Abha Khalsa,9432523425,2024-05-15,421
CUST00047,Arunima Khosla,9656731111,2025-08-25,493
CUST00048,Abha Krishnamurthy,9751562983,2025-11-28,160
CUST00049,Chatresh Mutti,9943208623,2024-05-22,494
CUST00050,Alexander Dua,9274796906,2026-02-12,224
CUST00051,Alexander Shanker,9522044481,2025-11-03,33
CUST00052,Abeer Varughese,9373660562,2025-02-15,23
CUST00053,Ekta Jain,9204391445,2024-05-04,401
CUST00054,Chakradev Palan,9275582983,2026-02-15,306
CUST00055,Victor Ramanathan,9867617081,2024-11-02,171
CUST00056,Tejas Raval,9628540701,2025-02-26,308
CUST00057,Pratyush Brahmbhatt,9481537405,2024-07-19,381
CUST00058,Keya Prashad,9205600862,2024-07-21,473
CUST00059,Arin Anand,9989032601,2024-10-04,421
CUST00060,Odika Memon,9977825482,2026-02-10,169
CUST00061,Chatura Khatri,9500273865,2025-10-15,287
CUST00062,Abhiram Palla,9321777675,2024-06-16,116
CUST00063,Falak Dhar,9178894396,2025-05-12,460
CUST00064,Rachita Mahal,9999877107,2025-01-13,56
CUST00065,Chatresh Som,9706780090,2025-04-20,29
CUST00066,Advaith Madan,9797884676,2025-10-12,8
CUST00067,Hema Sachdev,9603943729,2025-12-01,34
CUST00068,Tara Date,9817552842,2025-08-26,258
CUST00069,Bachittar Kamdar,9970486909,2026-03-17,491
CUST00070,Pooja Parekh,9759187262,2025-10-11,154
CUST00071,Champak Acharya,9240194381,2024-08-28,261
CUST00072,Jairaj Dutta,9208994310,2024-07-27,237
CUST00073,Nicholas Wadhwa,9298381176,2025-11-28,341
CUST00074,Onveer Prashad,9506491152,2026-04-06,255
CUST00075,Rehaan Peri,9529938603,2026-01-30,287
CUST00076,Neha Sekhon,9857619489,2026-02-10,463
CUST00077,Orinder Guha,9949063908,2025-12-01,39
CUST00078,Ishaan Chacko,9784707292,2024-12-11,129
CUST00079,Udyati Palla,9525032199,2025-11-03,220
CUST00080,Hardik Prashad,9244154178,2025-07-07,454
CUST00081,Abha Viswanathan,9186702203,2025-08-10,255
CUST00082,Qabil Raj,9252853368,2024-12-20,166
CUST00083,Chatura Chacko,9711324690,2025-04-17,415
CUST00084,Theodore Aurora,9618663127,2024-07-03,494
CUST00085,Fiyaz Din,9363758224,2025-02-04,391
CUST00086,Samaksh Tella,9921129712,2024-09-04,33
CUST00087,Jatin Din,9813607221,2024-09-08,69
CUST00088,Abha Ramachandran,9744823486,2024-12-30,407
CUST00089,Daksha Bahl,9705310896,2025-05-11,290
CUST00090,Samarth Manne,9629842261,2024-06-05,405
